# Multiple projects
J0101-6422 18.488850598020075
J0614-3329 38.92943344082763
J0709+0458 41.970433531553596
J0824+0028 38.72029724654959
J0900-3144 85.42516503199822
J0921-5202 -179.8332099826927
J0955-6150 -48.76096168166381
J1012-4235 61.80371456787723
J1017-7156 -63.36001932163955
J1036-8317 12.907842468919528
J1101-6424 -41.20906971699571
J1125-6014 8.447968247320272
J1157-5112 -4.456913331104875
J1216-6410 -21.992783977041167
J1227-6208 47.317166418374335
J1327-0755 -0.2657615384615384
J1400-1431 5.10939985443861
J1435-6100 -53.729380280789464
J1439-5501 -7.879051102285533
J1454-5846 84.31028147674742
J1514-4946 34.56179620269583
J1525-5545 2.9001026060126596
J1543-5149 -27.11189268348239
J1545-4550 2.987683590548537
J1603-7202 30.009942189192582
J1618-3921 177.49883685947376
J1727-2946 -90.35272802554408
J1732-5049 -8.15867751709655
J1756-2251 -10.780548869142015
J1757-1854 702.6010844222054
J1757-5322 70.14796778299953
J1802-2124 290.2024978294019
J1804-2717 39.96609485894294
J1811-2405 30.245339872191327
J1813-2621 142.2416220980013
J1902-5105 27.740984393209125
J1903-7051 18.993916006688462
J1918-0642 -58.79502967171848
J1933-6211 9.714866294659398
J2129-5721 23.106537015907577
J2222-0137 1.443970348209493
J1632-4757 -724.6081
J1915+1410 575
J1930-1852 9.30
# PTA
J0023+0923 -5.098482280579892
J0030+0451 1.3215705023213415
J0125-2327 4.784165623238328
J0154+1833 -21.871149181659984
J0348+0432 48.27436708890099
J0407+1607 75.22829790206974
J0437-4715 0.15475802117974438
J0453+1559 -35.26717439154202
J0509+0856 44.140039986576625
J0557+1550 25.604424031637613
J0557-2948 1.1195333333333335
J0610-2100 33.739652531665556
J0613-0200 18.370831440823903
J0621+1002 52.03075084623634
J0621+2514 10.55863200425514
J0636-3044 36.86125900438356
J0711-6830 23.861287623742484
J0721-2038 -18.419581084845877
J0732+2314 -3.0995276198518296
J0751+1807 41.58486030674437
J0931-1902 -100.24534816112944
J1022+1001 1.8296217681080886
J1024-0719 -2.8882006536245517
J1035-6720 -53.21126365436188
J1038+0032 19.757258859831563
J1045-4509 94.43317978004119
J1056-7117 -31.32062033999041
J1103-5403 -67.72858883688649
J1120-3618 -48.18567716667409
J1125-5825 -5.513906417990553
J1142+0119 0.3064
J1207-5050 -13.180383564345572
J1231-1411 11.578024957033444
J1300+1240 8.962134384122779
J1302-3258 -29.594140686906396
J1312+0051 2.440431410702652
J1337-6423 -108.28164531358252
J1405-4656 -4.963877059819985
J1420-5625 32.961955469613905
J1421-4409 -24.796061993420707
J1431-4715 13.220144183505383
J1431-5740 -42.22439282935483
J1446-4701 -9.638662231988562
J1453+1902 3.2497256138743578
J1455-3330 14.708522014319321
J1502-6752 232.81360880806588
J1529-3828 -30.11395329387814
J1537+1155 7.684303448905976
J1537-5312 -37.41308515142776
J1546-5925 -37.146934595938255
J1547-5709 119.74901265233841
J1552-4937 -30.036541390568146
J1600-3053 -11.68509677842046
J1614-2230 -29.12497101996757
J1618-4624 1.6668571428571428
J1622-6617 9.188214285714286
J1629-6902 36.67294540503192
J1640+2224 19.071219498603572
J1643-1224 -304.28270881004
J1652-4838 -29.402287923115395
J1653-2054 -4.4603580222155035
J1658-5324 7.812330357441068
J1705-1903 -15.571618759196046
J1708-3506 -10.558224197214171
J1709+2313 36.645553079682415
J1713+0747 10.881726738355473
J1719-1438 17.27162007607116
J1721-2457 -37.65869415593485
J1730-2304 -3.7243960190121577
J1731-1847 21.488207195142326
J1737-0811 64.85927046195276
J1738+0333 34.71414372724484
J1741+1351 63.52869206234643
J1744-1134 1.618686066565096
J1745+1017 27.24172709214606
J1745-0952 52.36253886208724
J1747-4036 -43.75355436452667
J1750-2536 173.26928365529966
J1751-2857 33.203398294311945
J1754+0032 40.01280466162531
J1755-3716 52.04124740762576
J1801-1417 232.54611479342014
J1801-3210 224.9794423731134
J1804-2858 -421.29588789850123
J1810-2005 -15.663017903887948
J1821+0155 110.3305176797417
J1825-0319 179.91515466945077
J1826-2415 57.78098448213658
J1828+0625 20.46901547765195
J1829+2456 0.25135714285714283
J1832-0836 41.6866205418373
J1835-0114 115.46111398011796
J1843-1113 8.908644870189669
J1843-1448 255.59455669593612
J1844+0115 30.149827822368742
J1850+0124 -68.90773197194602
J1853+1303 77.49013961340279
J1855-1436 136.5693607341409
J1857+0943 23.35857971324418
J1858-2216 -11.21728447470124
J1900+0308 51.70118415746554
J1903+0327 316.10699576646925
J1904+0451 15.144971428571429
J1909-3744 -0.6741462590888853
J1910+1256 54.517112873393046
J1911-1114 -28.092870454883997
J1914+0659 245.78976563584988
J1921+0137 89.85679061088855
J1921+1929 117.62356269263384
J1923+2515 11.792848587532136
J1930+2441 88.8794087497362
J1937+1658 -2.612723092844784
J1939+2134 7.810845825596243
J1944+0907 -35.37608673136972
J1944+2236 0.07980000000000001
J1946-5403 14.558649237126337
J1950+2414 -59.9866
J1955+2527 -159.31016666666667
J1955+2908 15.269251504164822
J1959+2048 -68.49147220870091
J2007+2722 -231.84989659027522
J2010-1323 -2.6459029047590423
J2017+0603 -55.00741525637169
J2019+2425 -68.9842913676069
J2033+1734 -71.42300553740033
J2039-3616 -14.419177782402784
J2042+0246 -22.917142427338245
J2043+1711 -73.48623219597313
J2124-3358 -0.27504238750362003
J2144-5237 28.07365862020245
J2145-0750 0.11184838709677414
J2150-0326 7.170935126251615
J2229+2643 -61.09596821532429
J2234+0611 2.6824
J2234+0944 -11.181309854160046
J2236-5527 18.99080135445545
J2241-5236 12.19798745734578
