J0034-0721 9.3
J0045-7319 9.5
J0108-1431 8.5
J0113-7220 7.2
J0131-7310 6.2
J0133-6957 6.5
J0134-2937 7.1
J0151-0635 10.5
J0152-1637 5.5
J0206-4028 6.3
J0211-8159 7.5
J0255-5304 9.3
J0304+1932 16.2
J0343-3000 11.7
J0401-7608 9.1
J0421-0345 6.9
J0448-2749 10.9
J0449-7031 7.7
J0450-1248 8.1
J0452-1759 9.7
J0459-0210 6.7
J0511-6508 9.8
J0520-2553 8.1
J0525+1115 13.4
J0533+0402 13.7
J0536-7543 5.5
J0601-0527 9.3
J0621+0336 10.1
J0624-0424 10.3
J0627+0649 12.4
J0627+0706 10.1
J0630-2834 8.8
J0631+1036 12.1
J0646+0905 14.0
J0656-2228 9.7
J0656-5449 7.0
J0659+1414 14.1
J0719-2545 12.9
J0729-1448 12.1
J0729-1836 10.8
J0737-2202 11.9
J0738-4042 12.8
J0742-2822 15.1
J0749-4247 11.3
J0758-1528 11.6
J0807-5421 12.8
J0809-4753 16.4
J0818-3232 11.4
J0820-1350 10.8
J0820-3826 11.4
J0820-4114 14.7
J0821-4221 22.3
J0823+0159 8.2
J0835-4510 74.1
J0837+0610 6.4
J0837-4135 23.0
J0838-2621 9.7
J0840-5332 11.2
J0842-4851 19.7
J0843-5022 19.7
J0846-3533 7.6
J0849-6322 8.9
J0855-3331 9.2
J0856-6137 8.8
J0857-4424 20.0
J0901-4624 27.0
J0902-6325 9.8
J0904-4246 15.2
J0904-7459 6.3
J0905-4536 14.8
J0905-5127 14.4
J0907-5157 18.3
J0908-1739 7.3
J0908-4913 25.2
J0909-7212 8.8
J0922+0638 8.3
J0922-4949 15.5
J0924-5302 18.2
J0924-5814 11.1
J0934-5249 20.3
J0940-5428 18.4
J0941-5244 16.7
J0942-5552 17.2
J0942-5657 15.8
J0943+1631 9.9
J0944-1354 6.5
J0952-3839 16.3
J0953+0755 8.5
J0954-5430 18.2
J0955-5304 17.6
J0959-4809 11.8
J1001-5507 20.0
J1001-5559 23.2
J1003-4747 13.6
J1012-5857 30.6
J1013-5934 25.5
J1015-5719 48.8
J1016-5345 13.1
J1016-5857 38.1
J1017-5621 19.9
J1018-1642 8.7
J1019-5749 65.5
J1034-3224 6.5
J1036-4926 11.0
J1038-5831 49.4
J1041-1942 9.1
J1042-5521 17.8
J1043-6116 41.6
J1046-5813 35.1
J1047-3032 7.7
J1047-6709 11.8
J1048-5832 48.4
J1049-5833 42.3
J1056-6258 19.8
J1057-5226 14.8
J1057-7914 8.0
J1058-5957 43.1
J1059-5742 21.9
J1105-6107 50.4
J1110-5637 15.9
J1112-6613 16.5
J1112-6926 10.0
